Timestamp,03.15.2024:15:44:11
Scans in Average,1
Termination,10000
V_RMS(V),0.0006396748179736138
V_DC (V),0.00015566990580465992
RMS_Noise %,12.95473773898354
Frequency (Hz),Mag^2 (V^2 / Hz),PSD (dBV^2 / Hz),RIN (dBc / Hz),Integrated Volts RMS,Integrated RIN (%RMS)
0.0,1.6261184706915325e-14,-137.88847817110144,-74.00766325547406,0.0,0.0
5.9604644775390625,6.1135589627762485e-15,-142.13705894844696,-78.25624403281958,2.5822845005657163e-07,0.04036870653664272
11.920928955078125,6.226255777619372e-16,-152.05773042258227,-88.17691550695491,2.945459671301445e-07,0.046046203297984804
17.881393432617188,1.5160967829312236e-15,-148.19273073802026,-84.3119158223929,3.05174075048565e-07,0.04770768935618054
23.84185791015625,2.1575270163035993e-15,-146.66043757393464,-82.77962265830726,3.2261349655793666e-07,0.05043398418901715
29.802322387695312,3.739716779212661e-15,-144.27161287072948,-80.39079795510212,3.4879022956587955e-07,0.054526177952540084
35.762786865234375,1.4393282678308122e-14,-138.41840145153824,-74.53758653591088,4.1916008136452214e-07,0.06552705680870062
41.72325134277344,6.703804350157346e-15,-141.73678669032756,-77.85597177470018,4.884356587267888e-07,0.07635686836541009
47.6837158203125,4.0958006290262955e-15,-143.87661191636977,-79.99579700074239,5.203409686357698e-07,0.08134460729345665
53.64418029785156,2.568163874154076e-16,-155.9037726745282,-92.02295775890084,5.326598663276853e-07,0.0832704135540407
59.604644775390625,7.051717905900053e-15,-141.5170506936781,-77.63623577805073,5.527274759909435e-07,0.08640757154422532
65.56510925292969,3.223353436017836e-15,-144.91692072118235,-81.03610580555497,5.797669890431496e-07,0.09063464322071604
71.52557373046875,1.5808141521726308e-15,-148.01119184735845,-84.13037693173108,5.919858923242483e-07,0.09254481741200375
77.48603820800781,4.488264266910847e-15,-143.4792157994212,-79.59840088379383,6.070704735655568e-07,0.09490298140681194
83.44650268554688,5.875145347999933e-16,-152.30981384706695,-88.42899893143958,6.194041971901959e-07,0.09683110539701534
89.40696716308594,6.185908082064392e-17,-162.08596537573837,-98.20515046011099,6.209644463905402e-07,0.09707501826594565
95.367431640625,5.249437151633174e-16,-152.79887259459568,-88.91805767896832,6.223709924888061e-07,0.09729490281646175
101.32789611816406,6.89502333746835e-15,-141.6146425953649,-77.73382767973752,6.398897384021424e-07,0.10003359838819503
107.28836059570312,8.678756178899978e-15,-140.61542512536346,-76.73461020973608,6.751832026246889e-07,0.10555100555053266
113.24882507324219,2.7816433127251608e-15,-145.5569855991069,-81.67617068347953,7.000192919774789e-07,0.10943361725494004
119.20928955078125,9.086247132472636e-16,-150.41615455193684,-86.53533963630947,7.078310991199485e-07,0.11065483261671026
125.16975402832031,2.500394676493064e-16,-156.0199143441015,-92.13909942847414,7.102661143734578e-07,0.11103549716455396
131.13021850585938,1.298331824273191e-15,-148.86614297494293,-84.98532805931558,7.13507154322185e-07,0.1115421670939713
137.09068298339844,4.1271230581211666e-16,-153.8435258160327,-89.96271090040534,7.170716617935617e-07,0.11209940451699012
143.0511474609375,1.765060536248105e-15,-147.53240395031025,-83.6515890346829,7.215830076851897e-07,0.11280466065102387
149.01161193847656,3.4250577603719042e-15,-144.65332100142572,-80.77250608579833,7.322225036494161e-07,0.11446792699593496
154.97207641601562,1.4168534789860133e-15,-148.48675059108925,-84.60593567546186,7.42010656812565e-07,0.11599810340559202
160.9325408935547,5.5406642237206444e-17,-162.56438168230974,-98.6835667666824,7.44961402960273e-07,0.11645939187041787
166.89300537109375,9.901979562224975e-16,-150.04277974391331,-86.16196482828596,7.470499557819903e-07,0.11678589414360933
172.8534698486328,2.8172187664191977e-15,-145.5017942729193,-81.62097935729194,7.546062698501256e-07,0.1179671684185718
178.81393432617188,5.650333889661852e-16,-152.4792588808264,-88.59844396519902,7.612558830053453e-07,0.11900669865618292
184.77439880371094,8.099472855368125e-16,-150.9154324574538,-87.03461754182642,7.639425902147928e-07,0.11942671006416027
190.73486328125,3.5065708440621773e-15,-144.5511738252465,-80.67035890961915,7.723163261469686e-07,0.12073577143360772
196.69532775878906,4.43293250403561e-15,-143.53308881231243,-79.65227389668505,7.874859182683653e-07,0.12310722513088651
202.65579223632812,2.4816451589989206e-15,-146.0526031651403,-82.17178824951293,8.004630651940299e-07,0.12513593511931065
208.6162567138672,6.031125110439462e-16,-152.1960166237469,-88.31520170811955,8.06185098471111e-07,0.1260304573228277
214.57672119140625,3.1954196325993205e-16,-154.95472100837242,-91.07390609274502,8.078886913470446e-07,0.12629677902692887
220.5371856689453,5.417057025169924e-16,-152.66236592585904,-88.78155101023168,8.094756671238202e-07,0.126544870046332
226.49765014648438,1.8383365348502897e-16,-157.35574981606226,-93.47493490043489,8.108101697961164e-07,0.12675349208909484
232.45811462402344,2.125940312680541e-16,-156.72448932774793,-92.84367441212056,8.115384020557801e-07,0.12686733622352095
238.4185791015625,1.3023970761120532e-15,-148.85256587447063,-84.97175095884324,8.143154200620987e-07,0.1273014658669413
244.37904357910156,1.121266090346277e-15,-149.5029131170842,-85.62209820145684,8.187384701206544e-07,0.12799291876367516
250.33950805664062,9.903332435593862e-16,-150.04218642284894,-86.16137150722159,8.2257263440123e-07,0.12859231148210692
256.2999725341797,1.2194730440266237e-15,-149.1382779515335,-85.25746303590611,8.265660740712015e-07,0.1292166036314559
262.26043701171875,2.748973315647163e-15,-145.60829475843485,-81.72747984280748,8.33689610457277e-07,0.1303302220178482
268.2209014892578,2.4802509794123277e-15,-146.05504370198463,-82.17422878635728,8.42984382662158e-07,0.1317832684632789
274.1813659667969,2.7043413789821594e-15,-145.6793848667635,-81.79856995113613,8.520997351857733e-07,0.13320826633211658
280.14183044433594,1.7852274443915426e-15,-147.48306445349215,-83.60224953786478,8.599150635087502e-07,0.1344300321580302
286.102294921875,5.368229475758805e-16,-152.70168927651721,-88.82087436088982,8.639294912708135e-07,0.1350576053638632
292.06275939941406,3.9784504224371634e-15,-144.002860495411,-80.12204557978363,8.716826998120458e-07,0.1362696600396738
298.0232238769531,1.2973117312261214e-14,-138.86955654691232,-74.98874163128495,9.001946110770996e-07,0.1407269108902505
303.9836883544922,9.614617132077304e-15,-140.17068005313882,-76.28986513751146,9.368388507123481e-07,0.14645548400359135
309.94415283203125,9.914555221257616e-16,-150.03726763988806,-86.1564527242607,9.535594327858234e-07,0.14906940307679223
315.9046173095703,2.6428055358943916e-15,-145.77934792144532,-81.89853300581795,9.592218376496844e-07,0.14995460360442886
321.8650817871094,1.9970150333392667e-15,-146.99618665789433,-83.11537174226693,9.66402750754867e-07,0.1510771916606432
327.82554626464844,4.1570127488436507e-16,-153.81218643585208,-89.9313715202247,9.70115834110209e-07,0.15165765586698862
333.7860107421875,4.502747212124329e-15,-143.4652243399668,-79.58440942433941,9.776414733106698e-07,0.15283413475735683
339.74647521972656,6.4390784852245516e-15,-141.91176281307597,-78.0309478974486,9.941790744283914e-07,0.1554194485219521
345.7069396972656,2.454954142194765e-15,-146.09956615955585,-82.21875124392847,1.0074216171991726e-06,0.1574896476917008
